item_no,Category,Beverage,Prep,Calories,Total_Fat(g),Trans_Fat(g),Saturated_Fat(g),Sodium_(mg),Total_Carbohydrates(g),Cholesterol(mg),Dietary_Fibre(g),Sugars(g),Protein(g),Vitamin_A(% DV),Vitamin_C(% DV),Calcium(% DV),Iron(% DV),Caffeine(mg)
1151,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Grande Soymilk,170,3.5,0.4,0.0,0,80,27,1,25,6.0,8,0,25,10,0
1152,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Venti Nonfat Milk,190,0.2,0.1,0.0,5,110,39,0,39,9.0,15,0,30,0,0
1153,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Venti 2% Milk,230,5.0,2.5,0.2,20,125,38,0,38,9.0,15,0,30,0,0
1154,Tazo® Tea Drinks,Tazo® Full-Leaf Red Tea Latte (Vanilla Rooibos),Venti Soymilk,210,4.0,0.5,0.0,0,100,34,1,32,7.0,10,0,30,15,0
1167,Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup),Tall,60,0.0,0.0,0.0,0,0,15,0,15,0.0,0,0,0,6,170
1168,Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup),Grande,80,0.0,0.0,0.0,0,0,21,0,21,0.0,0,0,0,0,Varies
1169,Shaken Iced Beverages,Shaken Iced Tazo® Tea (With Classic Syrup),Venti,120,0.0,0.0,0.0,0,0,31,0,31,0.0,0,0,0,0,Varies
1170,Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Tall,100,0.0,0.0,0.0,0,0,25,0,24,0.1,0,10,0,0,Varies
1171,Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Grande,130,0.0,0.0,0.0,0,0,33,0,33,0.1,0,15,0,0,Varies
1172,Shaken Iced Beverages,Shaken Iced Tazo® Tea Lemonade (With Classic Syrup),Venti,190,0.0,0.0,0.0,0,0,49,0,49,0.1,0,20,0,0,Varies
