item_no,Category,Beverage,Prep,Calories,Total_Fat(g),Trans_Fat(g),Saturated_Fat(g),Sodium_(mg),Total_Carbohydrates(g),Cholesterol(mg),Dietary_Fibre(g),Sugars(g),Protein(g),Vitamin_A(% DV),Vitamin_C(% DV),Calcium(% DV),Iron(% DV),Caffeine(mg)
1190,Frappuccino® Blended Coffee,Coffee,Venti Soymilk,310,2.5,0.3,0.0,0,300,68,1,66,5.0,6,0,20,2,130
1191,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Tall Nonfat Milk,180,0.5,0.4,0.0,0,150,42,1,40,3.0,4,0,10,8,130
1192,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Tall Whole Milk,200,3.0,2.0,0.1,10,160,42,1,40,3.0,4,0,8,6,70
1193,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Tall Soymilk,180,2.0,0.5,0.0,0,150,40,1,38,3.0,4,0,10,10,70
1194,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Grande Nonfat Milk,260,1.0,0.5,0.0,0,220,61,1,58,4.0,6,0,10,8,110
1195,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Grande Whole Milk,290,4.0,2.5,0.1,10,220,61,1,58,4.0,4,0,10,8,110
1196,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Grande Soymilk,260,2.5,0.5,0.0,0,220,59,1,55,4.0,4,0,10,15,110
1197,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Venti Nonfat Milk,340,1.0,0.5,0.0,5,300,80,1,76,7.0,10,0,15,10,140
1198,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Venti Whole Milk,390,6.0,3.5,0.1,15,300,80,1,76,6.0,8,0,15,10,140
1199,Frappuccino® Blended Coffee,Mocha (Without Whipped Cream),Venti Soymilk,350,3.0,1.0,0.0,0,290,78,2,73,6.0,6,0,20,20,140
1200,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Tall Nonfat Milk,180,0.1,0.0,0.0,0,160,42,0,41,3.0,4,0,10,0,70
1201,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Tall Whole Milk,200,2.5,1.5,0.1,10,160,42,0,41,3.0,4,0,8,0,70
1202,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Tall Soymilk,180,1.5,0.2,0.0,0,150,40,0,39,2.0,4,0,10,4,70
1203,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Grande Nonfat Milk,280,0.1,0.1,0.0,0,220,60,0,59,4.0,6,0,10,0,100
1204,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Grande Whole Milk,280,3.5,2.0,0.1,10,220,60,0,59,3.0,4,0,10,0,100
1205,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Grande Soymilk,260,1.5,0.2,0.0,0,220,58,0,56,3.0,4,0,10,6,100
1206,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Venti Nonfat Milk,330,0.1,0.1,0.0,5,290,78,0,77,5.0,10,0,15,2,130
1207,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Venti Whole Milk,370,5.0,3.0,0.1,15,300,78,0,77,5.0,8,0,15,2,130
1208,Frappuccino® Blended Coffee,Caramel (Without Whipped Cream),Venti Soymilk,340,2.5,0.3,0.0,0,290,75,1,73,5.0,6,0,20,8,130
1209,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Tall Nonfat Milk,220,3.0,2.0,0.0,0,170,47,1,44,4.0,4,0,10,20,75
1210,Frappuccino® Blended Coffee,Java Chip (Without Whipped Cream),Tall Whole Milk,240,5.0,3.5,0.1,10,170,47,1,44,4.0,4,0,8,20,75
